  bt7_documentClass  ,  bt7_documentSubClass  ,  bt7_documentSNType  ,Site,  UID_value 
Development,Specification,Information,BFG Productive Database,GMdVo7uN1cuxKD
Development,Specification,Information,BFG Productive Database,GQfVo7uN1cuxKD
Development,Specification,Information,BFG Productive Database,GYRVo7uN1cuxKD
Development,Specification,Information,BFG Productive Database,GcTVo7uN1cuxKD
Development,Specification,Information,BFG Productive Database,GgVVo7uN1cuxKD
Development,Specification,Information,BFG Productive Database,GkXVo7uN1cuxKD
Development,Specification,Information,BFG Productive Database,GoZVo7uN1cuxKD
Development,Specification,Information,BFG Productive Database,GsbVo7uN1cuxKD
Development,Specification,Information,BFG Productive Database,GwdVo7uN1cuxKD
Development,Specification,Information,BFG Productive Database,G0fVo7uN1cuxKD
Development,Specification,Information,BFG Productive Database,G8RVo7uN1cuxKD
Development,Specification,Information,BFG Productive Database,WATVo7uN1cuxKD
Development,Specification,Information,BFG Productive Database,WEVVo7uN1cuxKD
Development,Specification,Information,BFG Productive Database,WIXVo7uN1cuxKD
Development,Specification,Information,BFG Productive Database,WMZVo7uN1cuxKD
Development,Specification,Information,BFG Productive Database,WQbVo7uN1cuxKD
Development,Specification,Information,BFG Productive Database,WYVVo7uN1cuxKD
Development,Specification,Information,BFG Productive Database,WcZVo7uN1cuxKD
Development,Specification,Information,BFG Productive Database,WgbVo7uN1cuxKD
Development,Specification,Information,BFG Productive Database,WkdVo7uN1cuxKD
Development,Specification,Information,BFG Productive Database,WofVo7uN1cuxKD
Development,Specification,Information,BFG Productive Database,WwRVo7uN1cuxKD
Development,Specification,Information,BFG Productive Database,W0TVo7uN1cuxKD
Development,Specification,Information,BFG Productive Database,W4VVo7uN1cuxKD
Development,Specification,Information,BFG Productive Database,W8XVo7uN1cuxKD
Development,Specification,Information,BFG Productive Database,mAZVo7uN1cuxKD
Development,Specification,Information,BFG Productive Database,mEbVo7uN1cuxKD
Development,Specification,Information,BFG Productive Database,mIdVo7uN1cuxKD
Development,Specification,Information,BFG Productive Database,mMfVo7uN1cuxKD
Development,Specification,Information,BFG Productive Database,mURVo7uN1cuxKD
Development,Specification,Information,BFG Productive Database,mYTVo7uN1cuxKD
Development,Specification,Information,BFG Productive Database,mcVVo7uN1cuxKD
Development,Specification,Information,BFG Productive Database,mgXVo7uN1cuxKD
Development,Specification,Information,BFG Productive Database,mkZVo7uN1cuxKD
Development,Specification,Information,BFG Productive Database,mobVo7uN1cuxKD
Development,Specification,Information,BFG Productive Database,msdVo7uN1cuxKD
Development,Specification,Information,BFG Productive Database,mwfVo7uN1cuxKD
Development,Specification,Information,BFG Productive Database,m4RVo7uN1cuxKD
Development,Specification,Information,BFG Productive Database,m8TVo7uN1cuxKD
Development,Specification,Information,BFG Productive Database,2AdVo7uN1cuxKD
Development,Specification,Information,BFG Productive Database,2IRVo7uN1cuxKD
Development,Specification,Information,BFG Productive Database,2MTVo7uN1cuxKD
Development,Specification,Information,BFG Productive Database,2QVVo7uN1cuxKD
Development,Specification,Information,BFG Productive Database,2UXVo7uN1cuxKD
Development,Specification,Information,BFG Productive Database,2YZVo7uN1cuxKD
Development,Specification,Information,BFG Productive Database,2cbVo7uN1cuxKD
Development,Specification,Information,BFG Productive Database,2gdVo7uN1cuxKD
Development,Specification,Information,BFG Productive Database,2kfVo7uN1cuxKD
Development,Specification,Information,BFG Productive Database,2sRVo7uN1cuxKD
Development,Specification,Information,BFG Productive Database,2wTVo7uN1cuxKD
Development,Specification,Information,BFG Productive Database,20VVo7uN1cuxKD
Development,Specification,Information,BFG Productive Database,24XVo7uN1cuxKD
Development,Specification,Information,BFG Productive Database,28ZVo7uN1cuxKD
Development,Specification,Information,BFG Productive Database,GBbVo7uN1cuxKD
Development,Specification,Information,BFG Productive Database,GFdVo7uN1cuxKD
Development,Specification,Information,BFG Productive Database,GJfVo7uN1cuxKD
Development,Specification,Information,BFG Productive Database,GRRVo7uN1cuxKD
Development,Specification,Information,BFG Productive Database,GVTVo7uN1cuxKD
Development,Specification,Information,BFG Productive Database,GZVVo7uN1cuxKD
Development,Specification,Information,BFG Productive Database,wWeVOVCi1cuxKD
Development,Specification,Information,BFG Productive Database,RgeZQAXO1cuxKD
Development,Specification,Information,BFG Productive Database,wORZ5Z111cuxKD
Development,Specification,Information,BFG Productive Database,BvUZudHd1cuxKD
Development,Specification,Information,BFG Productive Database,GdXVo7uN1cuxKD
Development,Specification,Information,BFG Productive Database,yJbhlUgi1cuxKD
Development,Specification,Information,BFG Productive Database,C_UhLS6R1cuxKD
Development,Specification,Information,BFG Productive Database,GhZVo7uN1cuxKD
Development,Specification,Information,BFG Productive Database,GlbVo7uN1cuxKD
Development,Specification,Information,BFG Productive Database,GpdVo7uN1cuxKD
Development,Specification,Information,BFG Productive Database,GtfVo7uN1cuxKD
Development,Specification,Information,BFG Productive Database,G1RVo7uN1cuxKD
Development,Specification,Information,BFG Productive Database,G5TVo7uN1cuxKD
Development,Specification,Information,BFG Productive Database,G9VVo7uN1cuxKD
Development,Specification,Information,BFG Productive Database,WBXVo7uN1cuxKD
Development,Specification,Information,BFG Productive Database,WFZVo7uN1cuxKD
Development,Specification,Information,BFG Productive Database,WJbVo7uN1cuxKD
Development,Specification,Information,BFG Productive Database,WNdVo7uN1cuxKD
Development,Specification,Information,BFG Productive Database,WRfVo7uN1cuxKD
Development,Specification,Information,BFG Productive Database,WZRVo7uN1cuxKD
Development,Specification,Information,BFG Productive Database,WdTVo7uN1cuxKD
Development,Specification,Information,BFG Productive Database,WhVVo7uN1cuxKD
Development,Specification,Information,BFG Productive Database,WlXVo7uN1cuxKD
Development,Specification,Information,BFG Productive Database,WpZVo7uN1cuxKD
Development,Specification,Information,BFG Productive Database,WtbVo7uN1cuxKD
Development,Specification,Information,BFG Productive Database,WxdVo7uN1cuxKD
---,---,---,BFG Productive Database,2BbVo7uN1cuxKD
---,---,---,BFG Productive Database,2FdVo7uN1cuxKD
Manufacturing,Specification,---,BFG Productive Database,2JfVo7uN1cuxKD
Manufacturing,Specification,---,BFG Productive Database,2RRVo7uN1cuxKD
Manufacturing,Specification,---,BFG Productive Database,2VTVo7uN1cuxKD
Manufacturing,Specification,---,BFG Productive Database,2ZVVo7uN1cuxKD
Manufacturing,Specification,---,BFG Productive Database,2dXVo7uN1cuxKD
Manufacturing,Specification,---,BFG Productive Database,2hZVo7uN1cuxKD
Manufacturing,Specification,---,BFG Productive Database,2lbVo7uN1cuxKD
Manufacturing,Specification,Parts list,BFG Productive Database,2pdVo7uN1cuxKD
Manufacturing,Specification,Parts list,BFG Productive Database,2tfVo7uN1cuxKD
Manufacturing,Specification,Assembly drawing,BFG Productive Database,WaZVo7uN1cuxKD
Manufacturing,Specification,Assembly drawing,BFG Productive Database,WebVo7uN1cuxKD
Manufacturing,Specification,Assembly drawing,BFG Productive Database,WidVo7uN1cuxKD
Manufacturing,Specification,Assembly drawing,BFG Productive Database,WmfVo7uN1cuxKD
Manufacturing,Specification,Technical specification,BFG Productive Database,mbRVo7uN1cuxKD
Manufacturing,Specification,Technical specification,BFG Productive Database,mfTVo7uN1cuxKD
Manufacturing,Specification,Technical specification,BFG Productive Database,mjVVo7uN1cuxKD
Manufacturing,Specification,Technical specification,BFG Productive Database,mnXVo7uN1cuxKD
Manufacturing,Specification,Technical specification,BFG Productive Database,mrZVo7uN1cuxKD
Manufacturing,Specification,Technical specification,BFG Productive Database,mvbVo7uN1cuxKD
Manufacturing,Specification,Technical specification,BFG Productive Database,mzdVo7uN1cuxKD
Manufacturing,Specification,Technical specification,BFG Productive Database,m3fVo7uN1cuxKD
Manufacturing,Specification,Technical specification,BFG Productive Database,m$RVo7uN1cuxKD
Manufacturing,Specification,Technical specification,BFG Productive Database,2DTVo7uN1cuxKD
Manufacturing,Specification,Parts list,BFG Productive Database,XaZVo7uN1cuxKD
Development,Specification,---,BFG Productive Database,o_VVo7uN1cuxKD
---,---,---,BFG Productive Database,L4VVo7uN1cuxKD
Manufacturing,Specification,Parts list,BFG Productive Database,bMZVo7uN1cuxKD
Manufacturing,Specification,Parts list,BFG Productive Database,bQdVo7uN1cuxKD
Manufacturing,Specification,Design drawing,BFG Productive Database,VeWVo7HS1cuxKD
Manufacturing,Specification,Parts list,BFG Productive Database,ViYVo7HS1cuxKD
Manufacturing,Specification,Inspection and test document,BFG Productive Database,WNSVo7HS1cuxKD
Manufacturing,Specification,Inspection and test document,BFG Productive Database,WRWVo7HS1cuxKD
Manufacturing,Specification,Inspection and test document,BFG Productive Database,WVYVo7HS1cuxKD
Manufacturing,Condition,Procedure instructions,BFG Productive Database,WZaVo7HS1cuxKD
Manufacturing,Condition,Procedure instructions,BFG Productive Database,WdcVo7HS1cuxKD
Manufacturing,Condition,Procedure instructions,BFG Productive Database,WheVo7HS1cuxKD
Manufacturing,Condition,Procedure instructions,BFG Productive Database,WpQVo7HS1cuxKD
Manufacturing,Condition,Procedure instructions,BFG Productive Database,WtSVo7HS1cuxKD
Manufacturing,Condition,Procedure instructions,BFG Productive Database,WxUVo7HS1cuxKD
Manufacturing,Specification,Technical delivery conditions,BFG Productive Database,WjUVo7HS1cuxKD
Manufacturing,Specification,Assembly drawing,BFG Productive Database,IiWVo7HS1cuxKD
Manufacturing,Specification,Assembly drawing,BFG Productive Database,ImaVo7HS1cuxKD
Manufacturing,Specification,Technical specification,BFG Productive Database,buYVo7HS1cuxKD
---,---,---,BFG Productive Database,rWeVo7HS1cuxKD
---,---,---,BFG Productive Database,96UVo7HS1cuxKD
---,---,---,BFG Productive Database,NPQVo7HS1cuxKD
---,---,---,BFG Productive Database,NjcVo7HS1cuxKD
---,---,---,BFG Productive Database,NzSVo7HS1cuxKD
---,---,---,BFG Productive Database,N3eVo7HS1cuxKD
---,---,---,BFG Productive Database,9faVo7HS1cuxKD
---,---,---,BFG Productive Database,OIaVo7HS1cuxKD
Manufacturing,Specification,Parts list,BFG Productive Database,ehcVo7HS1cuxKD
---,---,---,BFG Productive Database,epWVo7HS1cuxKD
---,---,---,BFG Productive Database,uBcVo7HS1cuxKD
Manufacturing,Specification,Technical specification,BFG Productive Database,uPWVo7HS1cuxKD
Manufacturing,Specification,Technical specification,BFG Productive Database,uXSVo7HS1cuxKD
---,---,---,BFG Productive Database,u3WVo7HS1cuxKD
Manufacturing,Specification,Parts list,BFG Productive Database,$5UVo7HS1cuxKD
Manufacturing,Specification,Parts list,BFG Productive Database,$9YVo7HS1cuxKD
Manufacturing,Specification,Parts list,BFG Productive Database,PCaVo7HS1cuxKD
Manufacturing,Specification,Parts list,BFG Productive Database,PGcVo7HS1cuxKD
Manufacturing,Specification,Parts list,BFG Productive Database,PKeVo7HS1cuxKD
Manufacturing,Specification,Parts list,BFG Productive Database,PSQVo7HS1cuxKD
Manufacturing,Specification,Parts list,BFG Productive Database,PWSVo7HS1cuxKD
Manufacturing,Specification,Parts list,BFG Productive Database,$reVo7HS1cuxKD
Manufacturing,Specification,Parts list,BFG Productive Database,gAWVo7pC1cuxKD
Manufacturing,Specification,Parts list,BFG Productive Database,gEaVo7pC1cuxKD
Manufacturing,Specification,Parts list,BFG Productive Database,gqeVo7pC1cuxKD
Manufacturing,Specification,Parts list,BFG Productive Database,wGeVo7pC1cuxKD
Manufacturing,Specification,Technical specification,BFG Productive Database,wmeVo7pC1cuxKD
Manufacturing,Specification,Technical specification,BFG Productive Database,wuSVo7pC1cuxKD
Manufacturing,Specification,Technical specification,BFG Productive Database,wyUVo7pC1cuxKD
Manufacturing,Specification,Technical specification,BFG Productive Database,w2WVo7pC1cuxKD
Manufacturing,Specification,Technical specification,BFG Productive Database,w6YVo7pC1cuxKD
Manufacturing,Specification,Technical specification,BFG Productive Database,ADSVo7pC1cuxKD
Manufacturing,Specification,Technical specification,BFG Productive Database,AHWVo7pC1cuxKD
Manufacturing,Specification,Technical specification,BFG Productive Database,ALYVo7pC1cuxKD
Manufacturing,Specification,Technical specification,BFG Productive Database,APaVo7pC1cuxKD
Manufacturing,Specification,Technical specification,BFG Productive Database,AXUVo7pC1cuxKD
Manufacturing,Specification,Technical specification,BFG Productive Database,AbYVo7pC1cuxKD
Manufacturing,Specification,Technical specification,BFG Productive Database,AfaVo7pC1cuxKD
Manufacturing,Specification,Technical specification,BFG Productive Database,gjSVo7pC1cuxKD
Manufacturing,Specification,Technical specification,BFG Productive Database,gnWVo7pC1cuxKD
Manufacturing,Specification,Technical specification,BFG Productive Database,grYVo7pC1cuxKD
Manufacturing,Specification,Technical specification,BFG Productive Database,gvaVo7pC1cuxKD
Manufacturing,Specification,Technical specification,BFG Productive Database,g3UVo7pC1cuxKD
Manufacturing,Specification,Technical specification,BFG Productive Database,g7YVo7pC1cuxKD
Manufacturing,Specification,Technical specification,BFG Productive Database,g$aVo7pC1cuxKD
Manufacturing,Specification,Technical specification,BFG Productive Database,wDcVo7pC1cuxKD
Manufacturing,Specification,Technical specification,BFG Productive Database,BwcVo7pC1cuxKD
Manufacturing,Specification,Technical specification,BFG Productive Database,B4QVo7pC1cuxKD
Manufacturing,Specification,Technical specification,BFG Productive Database,B8SVo7pC1cuxKD
Manufacturing,Specification,Technical specification,BFG Productive Database,RAcVo7pC1cuxKD
Manufacturing,Specification,Technical specification,BFG Productive Database,RIQVo7pC1cuxKD
Manufacturing,Specification,Technical specification,BFG Productive Database,RMSVo7pC1cuxKD
Manufacturing,Specification,Technical specification,BFG Productive Database,RQcVo7pC1cuxKD
Manufacturing,Specification,Technical specification,BFG Productive Database,RYQVo7pC1cuxKD
Manufacturing,Specification,Technical specification,BFG Productive Database,RcSVo7pC1cuxKD
