  bt7_documentClass  ,  bt7_documentSubClass  ,bt7_documentSNType,Site,  UID_value 
Manufacturing,Specification,Design drawing,Beijing Productive Database,SHfVo$6p1cuxKD
Manufacturing,Specification,Design drawing,Beijing Productive Database,SPbVo$6p1cuxKD
Manufacturing,Specification,Technical specification,Beijing Productive Database,iPXVo$6p1cuxKD
Manufacturing,Specification,Technical specification,Beijing Productive Database,iTbVo$6p1cuxKD
Manufacturing,Specification,Technical specification,Beijing Productive Database,ibVVo$6p1cuxKD
Manufacturing,Specification,Technical specification,Beijing Productive Database,ifZVo$6p1cuxKD
Manufacturing,Specification,Design drawing,Beijing Productive Database,i$ZVo$6p1cuxKD
Manufacturing,Specification,Technical specification,Beijing Productive Database,DIZVo$6p1cuxKD
Manufacturing,Verification,First article inspection report,Beijing Productive Database,DYRVo$6p1cuxKD
Usage and Disposal,Specification,Declaration of conformity,Beijing Productive Database,D8fVo$6p1cuxKD
Usage and Disposal,Specification,Declaration of conformity,Beijing Productive Database,TETVo$6p1cuxKD
Usage and Disposal,Specification,Declaration of conformity,Beijing Productive Database,SpXdBoq21cuxKD
Usage and Disposal,Specification,Declaration of conformity,Beijing Productive Database,wjad0$xu1cuxKD
Usage and Disposal,Specification,Declaration of conformity,Beijing Productive Database,TIdVo$6p1cuxKD
Usage and Disposal,Specification,Declaration of conformity,Beijing Productive Database,TQRVo$6p1cuxKD
Usage and Disposal,Verification,Declaration of conformity,Beijing Productive Database,AOdZ6Zj91cuxKD
Manufacturing,Specification,Inspection and test document,Beijing Productive Database,TgZVo$6p1cuxKD
Manufacturing,Specification,Inspection and test document,Beijing Productive Database,wpddThJu1cuxKD
Manufacturing,Specification,Inspection and test document,Beijing Productive Database,ToVVo$6p1cuxKD
Manufacturing,Specification,Inspection and test document,Beijing Productive Database,TsZVo$6p1cuxKD
Manufacturing,Specification,Inspection and test document,Beijing Productive Database,wtRdDlHg1cuxKD
Manufacturing,Specification,Inspection and test document,Beijing Productive Database,T0TVo$6p1cuxKD
Manufacturing,Specification,Inspection and test document,Beijing Productive Database,T4XVo$6p1cuxKD
Manufacturing,Specification,Inspection and test document,Beijing Productive Database,T8ZVo$6p1cuxKD
Manufacturing,Specification,Inspection and test document,Beijing Productive Database,wpUdzG111cuxKD
Manufacturing,Specification,Inspection and test document,Beijing Productive Database,jETVo$6p1cuxKD
Manufacturing,Specification,Inspection and test document,Beijing Productive Database,jIfVo$6p1cuxKD
Manufacturing,Specification,Inspection and test document,Beijing Productive Database,jQbVo$6p1cuxKD
Manufacturing,Specification,Inspection and test document,Beijing Productive Database,jUfVo$6p1cuxKD
Manufacturing,Specification,Inspection and test document,Beijing Productive Database,jcRVo$6p1cuxKD
Manufacturing,Specification,Inspection and test document,Beijing Productive Database,wtfdTnF_1cuxKD
Management and Process,---,---,Beijing Productive Database,DNbVo$6p1cuxKD
Development,Verification,Inspection and test report,Beijing Productive Database,DVXVo$6p1cuxKD
Development,Verification,Inspection and test report,Beijing Productive Database,DdTVo$6p1cuxKD
Development,Verification,Inspection and test report,Beijing Productive Database,DhfVo$6p1cuxKD
Development,Verification,Inspection and test report,Beijing Productive Database,DxXVo$6p1cuxKD
Development,Verification,Inspection and test report,Beijing Productive Database,hkddhWUj1cuxKD
Management and Process,Condition,Information,Beijing Productive Database,D5TVo$6p1cuxKD
Management and Process,Condition,Information,Beijing Productive Database,D9XVo$6p1cuxKD
Management and Process,Condition,Information,Beijing Productive Database,TBZVo$6p1cuxKD
Management and Process,Condition,Information,Beijing Productive Database,COWduTBK1cuxKD
Development,Verification,Inspection and test report,Beijing Productive Database,TJTVo$6p1cuxKD
Development,Verification,Inspection and test report,Beijing Productive Database,TNfVo$6p1cuxKD
Manufacturing,Condition,Template,Beijing Productive Database,jFfVo$6p1cuxKD
Development,Project and Process,Others,Beijing Productive Database,jNbVo$6p1cuxKD
Manufacturing,Verification,First article inspection report,Beijing Productive Database,jpbVo$6p1cuxKD
Manufacturing,Verification,First article inspection report,Beijing Productive Database,jxXVo$6p1cuxKD
Manufacturing,Verification,First article inspection report,Beijing Productive Database,j5TVo$6p1cuxKD
Manufacturing,Verification,First article inspection report,Beijing Productive Database,j9fVo$6p1cuxKD
Manufacturing,Verification,First article inspection report,Beijing Productive Database,zFbVo$6p1cuxKD
Manufacturing,Verification,First article inspection report,Beijing Productive Database,zNXVo$6p1cuxKD
Manufacturing,Verification,First article inspection report,Beijing Productive Database,zVTVo$6p1cuxKD
Manufacturing,Verification,First article inspection report,Beijing Productive Database,zZfVo$6p1cuxKD
Manufacturing,Specification,---,Beijing Productive Database,DiTVo$6p1cuxKD
Manufacturing,Specification,---,Beijing Productive Database,DmXVo$6p1cuxKD
Manufacturing,Specification,---,Beijing Productive Database,DuRVo$6p1cuxKD
Development,Condition,Procedure instructions,Beijing Productive Database,DydVo$6p1cuxKD
Development,Condition,Procedure instructions,Beijing Productive Database,D6RVo$6p1cuxKD
Management and Process,---,---,Beijing Productive Database,D_bVo$6p1cuxKD
Management and Process,Specification,Technical specification,Beijing Productive Database,TGXVo$6p1cuxKD
Management and Process,Specification,Technical specification,Beijing Productive Database,TOTVo$6p1cuxKD
Manufacturing,Verification,First article inspection report,Beijing Productive Database,TabVo$6p1cuxKD
Manufacturing,Verification,First article inspection report,Beijing Productive Database,TiXVo$6p1cuxKD
Manufacturing,Verification,First article inspection report,Beijing Productive Database,jqfVo$6p1cuxKD
Manufacturing,Verification,First article inspection report,Beijing Productive Database,jyTVo$6p1cuxKD
Manufacturing,Verification,First article inspection report,Beijing Productive Database,zWVVo$6p1cuxKD
Manufacturing,Verification,First article inspection report,Beijing Productive Database,zeRVo$6p1cuxKD
Manufacturing,Verification,First article inspection report,Beijing Productive Database,zidVo$6p1cuxKD
Manufacturing,Verification,First article inspection report,Beijing Productive Database,zqZVo$6p1cuxKD
Manufacturing,Specification,---,Beijing Productive Database,z6RVo$6p1cuxKD
Manufacturing,Specification,Firmware,Beijing Productive Database,z_dVo$6p1cuxKD
Manufacturing,Specification,Firmware,Beijing Productive Database,DHRVo$6p1cuxKD
Manufacturing,Specification,Firmware,Beijing Productive Database,DLTVo$6p1cuxKD
Manufacturing,Specification,Firmware,Beijing Productive Database,DPdVo$6p1cuxKD
Manufacturing,Specification,Firmware,Beijing Productive Database,DXRVo$6p1cuxKD
Manufacturing,Specification,Firmware,Beijing Productive Database,DbTVo$6p1cuxKD
Manufacturing,Specification,Firmware,Beijing Productive Database,DfVVo$6p1cuxKD
Manufacturing,Specification,Marking,Beijing Productive Database,DjfVo$6p1cuxKD
